class,degree_centrality,in_degree_centrality,out_degree_centrality,in_degree,out_degree,total_degree,betweenness_centrality,betweenness_weighted,closeness_centrality,eigenvector_centrality,pagerank,hub_score,authority_score,katz_centrality,load_centrality,harmonic_centrality,clustering,triangles,burt_constraint,weighted_out,weighted_in
com.acmeair.config.AcmeAirConfiguration,0.04044117647058824,0.0,0.04044117647058824,0,11,11,0.0,0.0,0.0,1.0587029443487064e-14,0.0029514686306273442,-1.851483727718878e-18,0.0,0.05927730021158731,0.0,0.0,0.0,0,0.1669944619843693,27.8,0.0
com.acmeair.config.BeanManager,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,1.1307539004419057e-15,0.003059758328959128,0.0,6.599845214417245e-19,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,1.2
com.acmeair.config.Logger,0.007352941176470588,0.007352941176470588,0.0,2,0,2,0.0,0.0,0.007352941176470588,1.4672967264366317e-15,0.004227154092035855,0.0,1.7874938540352394e-19,0.06046284621581906,0.0,2.0,0.0,0,0.5,0.0,3.0
com.acmeair.config.BookingService,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,1.1307539004419057e-15,0.003059758328959128,0.0,6.599845214417245e-19,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,1.2
com.acmeair.config.CustomerService,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,1.1307539004419057e-15,0.003059758328959128,0.0,6.599845214417245e-19,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,1.2
com.acmeair.config.FlightService,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,1.1307539004419057e-15,0.003059758328959128,0.0,6.599845214417245e-19,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,1.2
com.acmeair.config.ArrayList,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,4.146097634953656e-15,0.003348530857843884,0.0,-2.5518123144975538e-18,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,4.4
com.acmeair.config.ServiceData,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,8.292195269907311e-15,0.0037455930850604237,0.0,-5.1036246289951075e-18,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,8.8
com.acmeair.config.InitialContext,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,1.884589834069843e-15,0.0031319514611803166,0.0,5.522260336919428e-19,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,2.0
com.acmeair.config.ServiceLocator,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,1.4134423755523824e-15,0.003086830753542074,0.0,5.29973744195651e-19,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,1.5
com.acmeair.config.Response,0.007352941176470588,0.007352941176470588,0.0,2,0,2,0.0,0.0,0.007352941176470588,3.97918039190037e-15,0.0037866119101860993,0.0,-1.728646633256388e-19,0.06046284621581906,0.0,2.0,0.0,0,0.78125,0.0,4.799999999999999
com.acmeair.config.System,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,5.653769502209528e-16,0.0030056134797932363,0.0,3.2999226072086223e-19,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,0.6
com.acmeair.config.LoaderREST,0.011029411764705881,0.0,0.011029411764705881,0,3,3,0.0,0.0,0.0,4.033822731885717e-16,0.0029514686306273442,1.0499216508907148e-20,0.0,0.05927730021158731,0.0,0.0,0.0,0,0.37190082644628103,3.3,0.0
com.acmeair.config.Loader,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,4.308348070739945e-17,0.00386372730142237,0.0,1.0557152365620412e-19,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,1.2
com.acmeair.web.AcmeAirApp,0.011029411764705881,0.0,0.011029411764705881,0,3,3,0.0,0.0,0.0,3.2514664275375866e-26,0.0029514686306273442,-4.8476486183113e-21,0.0,0.05927730021158731,0.0,0.0,0.0,0,0.4674012855831038,3.3,0.0
com.acmeair.web.Application,0.007352941176470588,0.007352941176470588,0.0,2,0,2,0.0,0.0,0.007352941176470588,4.0762928674197067e-26,0.005992330866610762,0.0,-5.833501286931289e-20,0.06046284621581906,0.0,2.0,0.0,0,0.5,0.0,4.0
com.acmeair.web.HashSet,0.007352941176470588,0.007352941176470588,0.0,2,0,2,0.0,0.0,0.007352941176470588,2.038146433709855e-26,0.004471899748619053,0.0,-2.9167506434656445e-20,0.06046284621581906,0.0,2.0,0.0,0,0.5,0.0,2.0
com.acmeair.web.Arrays,0.007352941176470588,0.007352941176470588,0.0,2,0,2,0.0,0.0,0.007352941176470588,6.1144393011295906e-27,0.003407597966024857,0.0,3.812107166925761e-20,0.06046284621581906,0.0,2.0,0.0,0,0.5,0.0,0.6
com.acmeair.web.AppConfig,0.011029411764705881,0.0,0.011029411764705881,0,3,3,0.0,0.0,0.0,3.2514664275375866e-26,0.0029514686306273442,-4.8476486183113e-21,0.0,0.05927730021158731,0.0,0.0,0.0,0,0.4674012855831038,3.3,0.0
BookingsREST,0.03308823529411765,0.0,0.03308823529411765,0,9,9,0.0,0.0,0.0,0.011304568682895222,0.0029514686306273442,0.00453891610663988,0.0,0.05927730021158731,0.0,0.0,0.01583927453164289,8,0.19738140421179987,16.1,0.0
Apache,0.19117647058823528,0.19117647058823528,0.0,52,0,52,0.0,0.0,0.19117647058823528,0.11653719114764713,0.038666045795410116,0.0,0.028054499180323503,0.09075967471123604,0.0,52.0,0.007049512925058625,110,0.04934313092916408,0.0,72.0
ANY,0.19117647058823528,0.19117647058823528,0.0,52,0,52,0.0,0.0,0.19117647058823528,0.11653719114764713,0.038666045795410116,0.0,0.028054499180323503,0.09075967471123604,0.0,52.0,0.007049512925058625,110,0.04934313092916408,0.0,72.0
BookingService,0.022058823529411763,0.007352941176470588,0.014705882352941176,2,4,6,4.74820924679835e-05,5.426524853483829e-05,0.007352941176470588,0.013930705618335237,0.0032014862754846563,0.0024552383275677023,0.0028084650415329837,0.06046284621581906,4.74820924679835e-05,2.0,0.024627365505480683,6,0.23859155832324852,3.2,2.7
BookingReceiptInfo,0.011029411764705881,0.003676470588235294,0.007352941176470588,1,2,3,0.0,0.0,0.003676470588235294,0.0071391490323856905,0.0034500944879563024,0.0024285201630267605,0.00023541719079544677,0.05987007321370318,0.0,1.0,0.06163211327561199,2,0.46671613867567785,2.4,3.2
Booking,0.01838235294117647,0.011029411764705881,0.007352941176470588,3,2,5,0.0,0.0,0.011029411764705883,0.03676331961892573,0.003826368843950706,0.0024285201630267605,0.010597044128322148,0.06106154694795609,0.0,3.0,0.08324248824607342,7,0.3246399362392297,2.4,10.2
BookingInfo,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,0.0011304855252420002,0.0036370791844546617,0.0,0.000323698637343739,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,4.4
ArrayList,0.051470588235294115,0.051470588235294115,0.0,14,0,14,0.0,0.0,0.055300245098039214,0.08320001794843873,0.01357303692089985,0.0,0.026789696877079737,0.06771377065280386,0.0,16.5,0.02605225106163782,14,0.1290201128225093,0.0,51.8
ServiceLocator,0.08455882352941177,0.029411764705882353,0.05514705882352941,8,15,23,0.0014515953983069243,0.0014719448665074886,0.029779411764705884,0.013836547713549613,0.0034384393871612195,0.003994288574472253,0.0014671386615073116,0.06403133968855661,0.0014515953983069243,8.5,0.003280378604466361,18,0.07962988466460125,22.2,3.0
Response,0.011029411764705881,0.011029411764705881,0.0,3,0,3,0.0,0.0,0.011029411764705883,0.0009812032420838093,0.003635728158519903,0.0,0.000250235482101406,0.06105561921793493,0.0,3.0,0.0,0,0.3372781065088757,0.0,3.9
CustomerREST,0.058823529411764705,0.0,0.058823529411764705,0,16,16,0.0,0.0,0.0,0.012335746361215172,0.0029514686306273442,0.004229969003053386,0.0,0.05927730021158731,0.0,0.0,0.009598583403997617,18,0.12449295115763781,16.3,0.0
CustomerService,0.058823529411764705,0.022058823529411763,0.03676470588235294,6,10,16,0.0005426524853483829,0.0005426524853483829,0.022518382352941176,0.07817428659106418,0.0043631567216874875,0.027794593438657575,0.006838023987063575,0.06283986595430371,0.0005426524853483829,6.5,0.02538473607231606,39,0.1469861665356847,21.9,8.0
HttpServletRequest,0.007352941176470588,0.007352941176470588,0.0,2,0,2,0.0,0.0,0.007352941176470588,0.0005965998765567714,0.0033142923862896777,0.0,0.00014173942486356514,0.06046284621581906,0.0,2.0,0.0,0,0.5,0.0,2.4
Customer,0.04044117647058824,0.022058823529411763,0.01838235294117647,6,5,11,6.783156066854787e-05,0.00010853049706967658,0.024509803921568627,0.04939900968715849,0.0050340140542001486,0.0026412285746490348,0.013715085799318363,0.06288141934175204,6.783156066854787e-05,7.833333333333333,0.04964141073747979,30,0.20890475289839255,3.6,18.599999999999998
CustomerInfo,0.014705882352941176,0.003676470588235294,0.011029411764705881,1,3,4,1.3566312133709572e-05,1.3566312133709572e-05,0.003676470588235294,0.007533601620078064,0.003290067707824271,0.0024491955979522436,0.00015083283873561936,0.05987007321370318,1.3566312133709572e-05,1.0,0.05983069843318631,4,0.404786966392695,6.199999999999999,2.2
CustomerAddress,0.03308823529411765,0.025735294117647058,0.007352941176470588,7,2,9,0.0,0.0,0.031141868512110732,0.021693219412041505,0.006015289005907419,0.0024285201630267605,0.004930602038670474,0.0635161612651907,0.0,9.5,0.048537324933865034,23,0.28597634687454637,2.4,13.4
PhoneType,0.01838235294117647,0.01838235294117647,0.0,5,0,5,0.0,0.0,0.024714052287581702,0.014159222325847702,0.004181098092555515,0.0,0.004743399930400659,0.06231875980091664,0.0,7.833333333333333,0.0504893215867215,7,0.37523157545015007,0.0,7.1
FlightsREST,0.03308823529411765,0.0,0.03308823529411765,0,9,9,0.0,0.0,0.0,0.06363389113160657,0.0029514686306273442,0.02752196143094249,0.0,0.05927730021158731,0.0,0.0,0.053529317448329596,16,0.2625731914889269,31.099999999999998,0.0
FlightService,0.051470588235294115,0.014705882352941176,0.03676470588235294,4,10,14,0.00020349468200564358,0.00027132624267419146,0.015318627450980393,0.15400025977531534,0.003286362239544909,0.04486064070948795,0.020870841483214688,0.06165431995007196,0.00020349468200564358,4.5,0.04555779702537923,33,0.2022583627847478,26.9,7.6
Date,0.03676470588235294,0.03676470588235294,0.0,10,0,10,0.0,0.0,0.04136029411764706,0.26355000646625376,0.008637706215354002,0.0,0.07753535620321556,0.06528813700764269,0.0,12.5,0.04027494320259124,9,0.15255723348306205,0.0,60.0
TripFlightOptions,0.01838235294117647,0.003676470588235294,0.014705882352941176,1,4,5,1.3566312133709572e-05,4.069893640112872e-05,0.003676470588235294,0.0136686462029907,0.003306398853026695,0.0027232125866353133,0.001962764061488269,0.05987007321370318,1.3566312133709572e-05,1.0,0.05905822519574548,5,0.48402466991254345,5.2,4.4
TripLegInfo,0.025735294117647058,0.007352941176470588,0.01838235294117647,2,5,7,6.783156066854787e-05,6.783156066854787e-05,0.007352941176470588,0.02691682370957712,0.004719701991784698,0.004328417146033639,0.005066748304355199,0.060468773945840215,6.783156066854787e-05,2.0,0.053158378735703365,9,0.4675677702318449,7.2,12.799999999999999
