class,degree_centrality,in_degree_centrality,out_degree_centrality,in_degree,out_degree,total_degree,betweenness_centrality,betweenness_weighted,closeness_centrality,eigenvector_centrality,pagerank,hub_score,authority_score,katz_centrality,load_centrality,harmonic_centrality,clustering,triangles,burt_constraint,weighted_out,weighted_in
ScreenTransitionIT,0.10588235294117647,0.0,0.10588235294117647,0,9,9,0.0,0.0,0.0,0.7089325191979099,0.007260663495100433,0.9457324254272549,-0.0,0.10442782757341751,0.0,0.0,0.0,0,0.7759381595899233,57.299999999999876,0.0
Apache,0.5058823529411764,0.5058823529411764,0.0,43,0,43,0.0,0.0,0.5058823529411764,0.018317737747886614,0.08683235124681443,-0.0,0.021795303954960207,0.15030613534531703,0.0,43.0,0.0031454885540899667,92,0.06935413205760457,0.0,51.6
ANY,0.49411764705882355,0.49411764705882355,0.0,42,0,42,0.0,0.0,0.49411764705882355,0.018303026314756426,0.08639149121228347,-0.0,0.02177763168945772,0.14926185706958284,0.0,42.0,0.003298927020143136,92,0.07212913275199032,0.0,50.4
SelenideElement,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,0.016763673380351507,0.007389920887423646,-0.0,0.020612525672248756,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.2
Thank,0.023529411764705882,0.023529411764705882,0.0,2,0,2,0.0,0.0,0.026470588235294117,0.016817759510049258,0.0077641899357158645,-0.0,0.0206563867585637,0.1065268269076432,0.0,2.5,0.0,0,0.5,0.0,2.4
Matcher,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,0.016763673380351507,0.007389920887423646,-0.0,0.020612525672248756,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.2
SECONDS,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,0.004190918345087877,0.007292977843181237,-0.0,0.005153131418062189,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,0.3
By,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,0.7040742819747617,0.012689473972675364,-0.0,0.8657260782344457,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,50.39999999999988
System,0.023529411764705882,0.023529411764705882,0.0,2,0,2,0.0,0.0,0.023529411764705882,0.00421666335306571,0.008064482903610412,-0.0,0.005184057882691537,0.10651638412488586,0.0,2.0,0.0,0,0.7812500000000002,0.0,2.4
Pattern,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,0.004190918345087877,0.007292977843181237,-0.0,0.005153131418062189,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,0.3
CartTest,0.07058823529411765,0.0,0.07058823529411765,0,6,6,0.0,0.0,0.0,0.003681508915063102,0.007260663495100433,0.002463274819620454,-0.0,0.10442782757341751,0.0,0.0,0.0711324314993874,12,0.369924263581831,54.6,0.0
Cart,0.15294117647058825,0.058823529411764705,0.09411764705882353,5,8,13,0.0032446311858076557,0.0047619047619047615,0.07908496732026145,0.00286445366202871,0.0120416409695698,0.0012912605490895887,0.0009720731296621383,0.10973349534177497,0.0032329598506069092,7.833333333333333,0.01810803380578666,30,0.39765942514475316,15.5,24.8
Item,0.1764705882352941,0.12941176470588234,0.047058823529411764,11,4,15,0.002567693744164332,0.0028011204481792713,0.14705882352941177,0.003227251939053483,0.022466749543567734,0.0012405191891965005,0.0013862007199410323,0.1161062317149562,0.0025443510737628385,15.0,0.01738773118233846,40,0.2992982239617212,7.199999999999999,40.8
CartItem,0.09411764705882353,0.047058823529411764,0.047058823529411764,4,4,8,0.000326797385620915,0.0004901960784313725,0.08067226890756302,0.0019255064189465162,0.016180182589745844,0.0012402181641531214,0.0004290192812795298,0.10874227371239602,0.00032679738562091496,7.833333333333333,0.03533886180241267,20,0.39096772701218707,6.2,15.799999999999999
BigDecimal,0.11764705882352941,0.11764705882352941,0.0,10,0,10,0.0,0.0,0.15259515570934257,0.0020284863229789564,0.03621431292603392,-0.0,0.001311670975124831,0.1151896007942564,0.0,15.166666666666668,0.023741176222113917,16,0.312103314665637,0.0,41.8
OrderTest,0.09411764705882353,0.0,0.09411764705882353,0,8,8,0.0,0.0,0.0,0.001496573072892548,0.007260663495100433,0.001445156759845368,-0.0,0.10442782757341751,0.0,0.0,0.018610209702623365,15,0.19616346944079363,16.2,0.0
Account,0.11764705882352941,0.09411764705882353,0.023529411764705882,8,2,10,0.0,0.0,0.10980392156862745,0.002019979779883726,0.024837051706835638,0.001129929776982555,0.0009774200196843838,0.11291896492690931,0.0,10.833333333333334,0.0196308965663883,23,0.28798875000485286,2.4,38.2
Order,0.1764705882352941,0.07058823529411765,0.10588235294117647,6,9,15,0.006349206349206348,0.006442577030812325,0.07205882352941176,0.0023754730012996695,0.016432441323857596,0.001294848604377923,0.0008558453801320616,0.1107564682521276,0.006349206349206348,6.5,0.014393650775387103,38,0.19581069238319612,16.599999999999998,30.799999999999997
Date,0.03529411764705882,0.03529411764705882,0.0,3,0,3,0.0,0.0,0.05378151260504201,0.00018923730637650373,0.010111676917286993,-0.0,0.00011906461610899519,0.10762394879696435,0.0,5.333333333333333,0.03345055302627984,2,0.6554831924054995,0.0,4.8
AccountMapperTest,0.07058823529411765,0.0,0.07058823529411765,0,6,6,0.0,0.0,0.0,0.0015831983135551856,0.007260663495100433,0.001519907975800981,-0.0,0.10442782757341751,0.0,0.0,0.015341532450553825,5,0.42102688337711486,27.6,0.0
AccountMapper,0.07058823529411765,0.03529411764705882,0.03529411764705882,3,3,6,0.0,0.00014005602240896358,0.038431372549019606,0.0010649319892358144,0.009924681734223204,0.0011806225278163743,8.803812997693133e-05,0.10758175786606813,0.0,4.416666666666667,0.025770929190094646,12,0.4740436060967334,4.8,3.5999999999999996
JdbcTemplate,0.07058823529411765,0.07058823529411765,0.0,6,0,6,0.0,0.0,0.07058823529411765,0.00017627202996769979,0.010288657602378593,-0.0,0.00016915497972760015,0.11069349722782257,0.0,6.0,0.0,0,0.16734693877551016,0.0,7.0
WHERE,0.058823529411764705,0.058823529411764705,0.0,5,0,5,0.0,0.0,0.058823529411764705,0.00038401685216142486,0.01110098382073814,-0.0,0.000345814558763831,0.10964921895208839,0.0,5.0,0.0,0,0.3553719008264463,0.0,13.2
CategoryMapperTest,0.058823529411764705,0.0,0.058823529411764705,0,5,5,0.0,0.0,0.0,0.0009605175742968391,0.007260663495100433,0.001148125532483913,-0.0,0.10442782757341751,0.0,0.0,0.010761528809023231,4,0.32448545077986685,6.3,0.0
CategoryMapper,0.058823529411764705,0.03529411764705882,0.023529411764705882,3,2,5,0.0,0.0,0.05694117647058824,0.0010024551465384213,0.010406362652143413,0.001129929776982555,0.00010934408267535583,0.10760295775934381,0.0,6.083333333333333,0.01852324559448723,7,0.2968227462029522,2.4,4.8
Category,0.058823529411764705,0.03529411764705882,0.023529411764705882,3,2,5,0.0,0.0,0.037647058823529415,0.0012990095853742255,0.01228067178223938,0.001129929776982555,0.0002928308044428953,0.10757110518337738,0.0,3.5,0.020654308123449573,6,0.3069744922501636,2.4,11.399999999999999
Comparator,0.03529411764705882,0.03529411764705882,0.0,3,0,3,0.0,0.0,0.03529411764705882,2.5552479598860766e-05,0.008147279608968506,-0.0,2.6673719193654836e-05,0.10756066240062004,0.0,3.0,0.0,0,0.375,0.0,1.2
ItemMapperTest,0.10588235294117647,0.0,0.10588235294117647,0,9,9,0.0,0.0,0.0,0.0013129853365805141,0.007260663495100433,0.001392774022491359,-0.0,0.10442782757341751,0.0,0.0,0.004965241576826195,5,0.2266989858905571,15.7,0.0
ItemMapper,0.08235294117647059,0.058823529411764705,0.023529411764705882,5,2,7,0.0,0.0,0.07952941176470589,0.001123706069099151,0.010757956858675165,0.001129929776982555,0.00020155673187699687,0.10971250430415443,0.0,8.333333333333332,0.015373612584318899,12,0.20425074921327455,2.4,8.4
HashMap,0.047058823529411764,0.047058823529411764,0.0,4,0,4,0.0,0.0,0.07952941176470589,0.0001487025551990071,0.008842554581929705,-0.0,9.838143964143218e-05,0.10867898731605168,0.0,7.999999999999999,0.003514082570048326,1,0.26159053062597104,0.0,4.0
LineItemMapperTest,0.09411764705882353,0.0,0.09411764705882353,0,8,8,0.0,0.0,0.0,0.0012086590531654303,0.007260663495100433,0.0012706583615015566,-0.0,0.10442782757341751,0.0,0.0,0.008228136548203872,6,0.25071611946070793,15.399999999999999,0.0
LineItemMapper,0.07058823529411765,0.03529411764705882,0.03529411764705882,3,3,6,7.002801120448179e-05,0.000980392156862745,0.03676470588235294,0.0009966393360677903,0.008375752529720367,0.0011335509430997121,8.725276346832983e-05,0.10758165239396228,7.002801120448179e-05,3.8333333333333335,0.01711355770383943,11,0.265269336449203,2.8,3.5999999999999996
LineItem,0.09411764705882353,0.047058823529411764,0.047058823529411764,4,4,8,0.0010270774976657328,0.0007002801120448178,0.06920415224913495,0.0017282017274294593,0.01526153657133691,0.0012855703556906117,0.00041892383419259903,0.10869976532090397,0.0010270774976657326,6.833333333333333,0.026504040835111424,17,0.2893834823665141,7.8,17.0
AND,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,2.8635143579509518e-05,0.00774160171458875,-0.0,2.769438521183871e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.2
MapperTestContext,0.07058823529411765,0.0,0.07058823529411765,0,6,6,0.0,0.0,0.0,0.000880916242138638,0.007260663495100433,0.0011366367007787463,-0.0,0.10442782757341751,0.0,0.0,0.0,0,0.18559556786703602,7.6,0.0
SqlSessionFactoryBean,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,3.819924800133136e-05,0.009047306792936418,-0.0,4.541779436303261e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,2.2
EmbeddedDatabaseBuilder,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,1.736329454605971e-05,0.008072774085025882,-0.0,2.064445198319616e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.0
DataSourceTransactionManager,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,1.736329454605971e-05,0.008072774085025882,-0.0,2.064445198319616e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.0
