class,degree_centrality,in_degree_centrality,out_degree_centrality,in_degree,out_degree,total_degree,betweenness_centrality,betweenness_weighted,closeness_centrality,eigenvector_centrality,pagerank,hub_score,authority_score,katz_centrality,load_centrality,harmonic_centrality,clustering,triangles,burt_constraint,weighted_out,weighted_in
OrdersAlertFilter,0.03832752613240418,0.0,0.03832752613240418,0,11,11,0.0,0.0,0.0,0.003843729701384833,0.0024810627037784774,0.0017169804781313634,0.0,0.05626122386576776,0.0,0.0,0.0035094309894070806,12,0.1170394859401016,12.5,0.0
Filter,0.006968641114982578,0.006968641114982578,0.0,2,0,2,0.0,0.0,0.006968641114982578,5.921416790282568e-05,0.0029831581634381767,0.0,1.8014189846565444e-05,0.05738644834308312,0.0,2.0,0.0,0,0.5,0.0,3.0
Apache,0.37630662020905925,0.37630662020905925,0.0,108,0,108,0.0,0.0,0.37630662020905925,0.030018728559454855,0.03803893720374589,0.0,0.0069912411728975665,0.11852011530223618,0.0,108.0,0.0007975776815504897,252,0.01833818114013901,0.0,130.79999999999998
ANY,0.37630662020905925,0.37630662020905925,0.0,108,0,108,0.0,0.0,0.37630662020905925,0.030018728559454855,0.03803893720374589,0.0,0.0069912411728975665,0.11852011530223618,0.0,108.0,0.0007975776815504897,252,0.01833818114013901,0.0,130.79999999999998
FilterConfig,0.006968641114982578,0.006968641114982578,0.0,2,0,2,0.0,0.0,0.006968641114982578,6.31617790963474e-05,0.003016631194082157,0.0,1.921513583633646e-05,0.05738644834308312,0.0,2.0,0.0,0,0.5,0.0,3.2
ServletRequest,0.006968641114982578,0.006968641114982578,0.0,2,0,2,0.0,0.0,0.006968641114982578,6.31617790963474e-05,0.003016631194082157,0.0,1.921513583633646e-05,0.05738644834308312,0.0,2.0,0.0,0,0.5,0.0,3.2
ServletResponse,0.006968641114982578,0.006968641114982578,0.0,2,0,2,0.0,0.0,0.006968641114982578,6.31617790963474e-05,0.003016631194082157,0.0,1.921513583633646e-05,0.05738644834308312,0.0,2.0,0.0,0,0.5,0.0,3.2
TradeServices,0.04529616724738676,0.027874564459930314,0.017421602787456445,8,5,13,0.0007979825052995785,0.001559416193562535,0.0627690100430416,0.019898166091120193,0.004588308584878835,0.0034472005998168478,0.0048033038306315706,0.06096858696392282,0.0007979825052995785,20.500000000000004,0.009438903002635887,32,0.14897047050693185,6.3999999999999995,16.6
FilterChain,0.006968641114982578,0.006968641114982578,0.0,2,0,2,0.0,0.0,0.006968641114982578,1.579044477408685e-05,0.0026149548263543973,0.0,4.803783959084115e-06,0.05738644834308312,0.0,2.0,0.0,0,0.5,0.0,0.8
TradeAction,0.13588850174216027,0.05226480836236934,0.08362369337979095,15,24,39,0.010962614621151206,0.00980726590482688,0.06968641114982578,0.0894333922799914,0.005344319051441528,0.03752865075932782,0.008000858034634194,0.06481402023588298,0.010969721335574993,22.5,0.0068299407422454305,141,0.10830020066867653,62.30000000000002,33.8
